PubNum,PubDate,PubMainClass,PubSubClass,PubNumClaims
US05150378,1992-09-22,1,1,20
US05107722,1992-04-28,1,1,4
US05326281,1994-07-05,1,1,3
US05755595,1998-05-26,1,1,3
US06831162,2004-12-14,1,1,1
US06964287,2005-11-15,1,1,17
US06937976,2005-08-30,1,1,31
US06929395,2005-08-16,1,1,20
US06926568,2005-08-09,1,1,20
US06913226,2005-07-05,1,1,32
US06908350,2005-06-21,1,1,20
US06892785,2005-05-17,1,1,1
US06889577,2005-05-10,1,1,9
US06868634,2005-03-22,1,1,18
US07104857,2006-09-12,1,1,19
US07059034,2006-06-13,1,1,4
US07058862,2006-06-06,1,1,5
US07022911,2006-04-04,1,1,19
US07014148,2006-03-21,1,1,8
US06993996,2006-02-07,1,1,12
US06985431,2006-01-10,1,1,5
US07310831,2007-12-25,1,1,18
US07299904,2007-11-27,1,1,23
US07296228,2007-11-13,1,1,36
US07296227,2007-11-13,1,1,18
US07296224,2007-11-13,1,1,32
US07296220,2007-11-13,1,1,18
US07296219,2007-11-13,1,1,31
US07293896,2007-11-13,1,1,9
US07257602,2007-08-14,1,1,44
US07246227,2007-07-17,1,1,54
US07213441,2007-05-08,1,1,5
US07201244,2007-04-10,1,1,10
US07191506,2007-03-20,1,1,17
US07189132,2007-03-13,1,1,20
US07185607,2007-03-06,1,1,3
US07178560,2007-02-20,1,1,18
US07172060,2007-02-06,1,1,16
US07371776,2008-05-13,1,1,10
US07371225,2008-05-13,1,1,29
US07356536,2008-04-08,1,1,18
US07352752,2008-04-01,1,1,21
US07350331,2008-04-01,1,1,17
US07340424,2008-03-04,1,1,25
US07337658,2008-03-04,1,1,9
US07492496,2009-02-17,1,1,16
US07492495,2009-02-17,1,1,5
US07489430,2009-02-10,1,1,19
US07489429,2009-02-10,1,1,7
US07486426,2009-02-03,1,1,22
US07477510,2009-01-13,1,1,20
US07477507,2009-01-13,1,1,12
USD0514967,2006-02-14,10,94,1
US03929065,1975-12-30,100,90,2
US03929064,1975-12-30,100,345,13
US03929063,1975-12-30,100,26,8
US03929062,1975-12-30,100,3,10
US03929061,1975-12-30,100,116,17
US03929060,1975-12-30,100,100,7
US03927612,1975-12-23,100,215,8
US03926108,1975-12-16,100,177,18
US03926107,1975-12-16,100,45,5
US03925870,1975-12-16,100,161,10
US03924526,1975-12-09,100,25,5
US03922963,1975-12-02,100,118,8
US03922962,1975-12-02,100,345,7
US03921515,1975-11-25,100,229A,7
US03921514,1975-11-25,100,162B,2
US03921513,1975-11-25,100,155R,7
US03921512,1975-11-25,100,117,1
US03921511,1975-11-25,100,107,10
US03921510,1975-11-25,100,7,5
US03919932,1975-11-18,100,228,10
US03918360,1975-11-11,100,52,8
US03918359,1975-11-11,100,52,9
US03918358,1975-11-11,100,19R,7
US03916782,1975-11-04,100,229A,9
US03916781,1975-11-04,100,353,13
US03916780,1975-11-04,100,49,5
US03916779,1975-11-04,100,26,2
US03916778,1975-11-04,100,4,18
US03915084,1975-10-28,100,88,3
US03913475,1975-10-21,100,245,4
US03913474,1975-10-21,100,45,4
US03913473,1975-10-21,100,5,17
US03913472,1975-10-21,100,4,3
US03911811,1975-10-14,100,295,15
US03911810,1975-10-14,100,290,2
US03911809,1975-10-14,100,148,2
US03911808,1975-10-14,100,38,8
US03911807,1975-10-14,100,37,5
US03910181,1975-10-07,100,226,8
US03910180,1975-10-07,100,224,2
US03910179,1975-10-07,100,154,3
US03910178,1975-10-07,100,5,11
US03908808,1975-09-30,100,35,8
US03908541,1975-09-30,100,215,4
US03908540,1975-09-30,100,215,7
US03908539,1975-09-30,100,49,3
US03908538,1975-09-30,100,49,11
US03907139,1975-09-23,100,100,7
US03906853,1975-09-23,100,118,2
US03906852,1975-09-23,100,98R,6
US03906851,1975-09-23,100,4,22
US03905290,1975-09-16,100,215,15
US03905289,1975-09-16,100,215,11
US03905288,1975-09-16,100,162R,7
US03903790,1975-09-09,100,215,9
US03903789,1975-09-09,100,34,3
US03901142,1975-08-26,100,255,29
US03901141,1975-08-26,100,236,10
US03901140,1975-08-26,100,344,8
US03901139,1975-08-26,100,48,22
US03901138,1975-08-26,100,4,4
US03899967,1975-08-19,100,211,5
US03899966,1975-08-19,100,255,8
US03899965,1975-08-19,100,155R,3
US03899964,1975-08-19,100,89,9
US03899963,1975-08-19,100,25,7
US03898924,1975-08-12,100,12,7
US03897724,1975-08-05,100,34,7
US03896720,1975-07-29,100,226,12
US03896719,1975-07-29,100,169,10
US03896717,1975-07-29,100,100,2
US03895573,1975-07-22,100,88,5
US03895572,1975-07-22,100,35,13
US03895571,1975-07-22,100,4,6
US03894486,1975-07-15,100,118,3
US03894485,1975-07-15,100,45,10
US03894484,1975-07-15,100,5,7
US03893387,1975-07-08,100,229A,8
US03893386,1975-07-08,100,50,14
US03893385,1975-07-08,100,346,18
US03892173,1975-07-01,100,117,7
US03890891,1975-06-24,100,102,10
US03890890,1975-06-24,100,48,16
US03890889,1975-06-24,100,48,11
US03889590,1975-06-17,100,219,15
US03889589,1975-06-17,100,218,9
US03889588,1975-06-17,100,177,4
US03889587,1975-06-17,100,98R,7
US03889586,1975-06-17,100,348,3
US03889585,1975-06-17,100,26,20
US03889584,1975-06-17,100,26,4
US03888171,1975-06-10,100,229A,10
US03888170,1975-06-10,100,177,13
US03888169,1975-06-10,100,100,8
US03888168,1975-06-10,100,48,7
US03886859,1975-06-03,100,342,5
US03885467,1975-05-27,100,229A,23
US03885466,1975-05-27,100,218,15
US03885465,1975-05-27,100,47,3
US03884142,1975-05-20,100,214,8
US03884141,1975-05-20,100,163R,3
US03884140,1975-05-20,100,163R,10
US03884139,1975-05-20,100,26,5
US03884138,1975-05-20,100,5,6
US03882771,1975-05-13,100,343,15
US03882770,1975-05-13,100,49,3
US03881409,1975-05-06,100,68,9
US03881408,1975-05-06,100,353,18
US03881407,1975-05-06,100,35,NA
US03880073,1975-04-29,100,142,4
US03880072,1975-04-29,100,100,3
US03880071,1975-04-29,100,27,4
US03880070,1975-04-29,100,7,1
US03878774,1975-04-22,100,96,2
US03878773,1975-04-22,100,344,18
US03877366,1975-04-15,100,121,11
US03877365,1975-04-15,100,117,2
US03877364,1975-04-15,100,37,4
US03875855,1975-04-08,100,2,9
US03874283,1975-04-01,100,121,4
US03874282,1975-04-01,100,343,4
US03874281,1975-04-01,100,35,24
US03872786,1975-03-25,100,218,10
US03872785,1975-03-25,100,48,3
US03872784,1975-03-25,100,45,4
US03871292,1975-03-18,100,215,6
US03871291,1975-03-18,100,320,19
US03871290,1975-03-18,100,39,6
US03871289,1975-03-18,100,4,2
US03871288,1975-03-18,100,2,24
US03869979,1975-03-11,100,218,18
US03869978,1975-03-11,100,349,7
US03868903,1975-03-04,100,45,76
US03868898,1975-03-04,100,35,19
US03867880,1975-02-25,100,226,5
